YEAR,CONSUMPTION
1990,13.98
1991,14.01
1992,13.71
1993,14.03
1994,14
1995,14.82
1996,15.53
1997,15.95
1998,16.19
1999,16.77
2000,16.96
2001,17.23
2002,17.8
2003,18.17
2004,17.64
2005,17.68
2006,18
2007,18.33
2008,18.02
2009,18.14
2010,18.6
2011,18.53
2012,18.27
2013,18.61
2014,18.99
2015,19.4
2016,20.18
2017,20.58
2018,21.1
